Province;Sexe;Age;Total - Type of collective dwelling;  Health care and related facilities [2];    General and speciality hospitals;    Nursing homes, chronic care and long-term care hospitals;    Residences for senior citizens;    Group homes or institutions for the physically handicapped and treatment centres;    Group homes or institutions for people with psychiatric disorders or developmental disabilities;  Correctional and penal institutions [3];  Shelters [4];  Group homes for children and youth;  Service collective dwellings [5];    Lodging and rooming houses;    Hotels, motels and other establishments with temporary accommodation services;    Other service collective dwellings [6];  Religious establishments;  Hutterite colonies;  Other [7]
Nouvelle-Écosse; male; 55 to 59 years;385;250;15;60;10;50;120;20;20;0;90;35;50;5;5;0;5
Nouvelle-Écosse; female; 55 to 59 years;290;210;5;75;10;30;95;0;5;0;70;10;50;5;0;0;0
Nouvelle-Écosse;Tous; 60 to 64 years;720;505;20;195;45;65;180;15;10;0;175;30;120;25;5;0;5
Nouvelle-Écosse; male; 60 to 64 years;395;270;15;95;20;35;105;10;10;0;95;20;65;10;0;0;5
Nouvelle-Écosse; female; 60 to 64 years;320;235;10;105;20;25;75;0;0;0;80;10;55;15;5;0;0
Nouvelle-Écosse;Tous; 65 to 69 years;635;525;25;275;50;55;125;10;5;0;90;10;70;10;0;0;0
Nouvelle-Écosse; male; 65 to 69 years;300;235;15;120;20;30;60;10;5;0;50;10;35;0;0;0;0
Nouvelle-Écosse; female; 65 to 69 years;335;290;10;150;35;25;70;0;0;0;45;5;35;10;0;0;0
Nouvelle-Écosse;Tous; 70 to 74 years;730;650;20;470;60;35;65;0;5;0;55;10;35;10;20;0;0
Nouvelle-Écosse; male; 70 to 74 years;330;290;10;195;30;25;40;5;5;0;35;10;15;5;5;0;0
Nouvelle-Écosse; female; 70 to 74 years;405;360;10;280;30;15;30;0;5;0;25;0;15;5;20;0;0
Nouvelle-Écosse;Tous; 75 to 79 years;1165;1065;20;830;170;15;30;0;5;0;40;5;20;20;55;0;0
Nouvelle-Écosse; male; 75 to 79 years;420;395;15;305;60;5;15;0;5;0;20;5;10;10;0;0;0
Nouvelle-Écosse; female; 75 to 79 years;745;670;10;520;115;10;15;0;0;0;20;0;5;10;55;0;0
Nouvelle-Écosse;Tous; 80 to 84 years;1895;1800;15;1435;330;10;10;0;0;0;35;0;5;25;60;0;0
Nouvelle-Écosse; male; 80 to 84 years;525;510;5;405;90;0;0;0;0;0;15;5;5;5;5;0;0
Nouvelle-Écosse; female; 80 to 84 years;1370;1295;10;1030;240;5;10;0;0;0;20;0;0;15;55;0;0
Nouvelle-Écosse;Tous; 85 years and over;5110;4910;85;3890;890;35;15;0;0;0;100;0;5;95;100;0;0
Nouvelle-Écosse; male; 85 years and over;1110;1095;40;845;200;5;10;0;0;0;20;5;0;15;0;0;0
Nouvelle-Écosse; female; 85 years and over;4000;3820;45;3050;690;30;15;0;0;0;75;5;0;75;100;0;0
 Terre-Neuve-et-Labrador;Etablissement;;455;190;15;80;55;5;40;5;15;35;165;40;120;5;25;0;15
 Terre-Neuve-et-Labrador;Tous;0 to 100 years;7220;6020;255;3690;1685;105;275;65;120;75;715;210;330;180;180;0;50
 Terre-Neuve-et-Labrador; male;0 to 100 years;2815;2125;110;1205;565;70;180;60;85;40;445;180;185;80;20;0;35
 Terre-Neuve-et-Labrador; female;0 to 100 years;4405;3895;155;2490;1120;40;90;5;30;30;270;25;145;95;155;0;15
 Terre-Neuve-et-Labrador;Tous; under 15 years;80;0;5;0;0;0;0;0;10;45;20;0;10;10;0;0;5
 Terre-Neuve-et-Labrador; male; under 15 years;45;5;0;0;0;0;0;0;5;35;10;0;0;5;0;0;0
 Terre-Neuve-et-Labrador; female; under 15 years;30;0;0;0;0;0;0;0;5;15;15;0;10;5;0;0;0
 Terre-Neuve-et-Labrador;Tous; 15 to 19 years;100;5;0;0;0;0;0;15;15;20;40;0;15;25;0;0;0
 Terre-Neuve-et-Labrador; male; 15 to 19 years;50;5;0;0;5;0;0;10;10;10;15;0;10;5;0;0;0
 Terre-Neuve-et-Labrador; female; 15 to 19 years;45;0;0;0;0;0;0;0;5;15;25;0;0;20;0;0;5
 Terre-Neuve-et-Labrador;Tous; 20 to 24 years;165;10;0;5;5;5;5;5;20;0;125;20;35;75;0;0;0
 Terre-Neuve-et-Labrador; male; 20 to 24 years;105;10;0;0;0;5;0;10;15;0;75;15;30;30;0;0;0
 Terre-Neuve-et-Labrador; female; 20 to 24 years;60;0;0;0;0;0;0;0;10;0;55;0;5;45;0;0;0
 Terre-Neuve-et-Labrador;Tous; 25 to 29 years;115;15;5;5;5;5;5;10;10;0;70;10;25;35;0;0;5
 Terre-Neuve-et-Labrador; male; 25 to 29 years;80;10;5;0;5;0;5;15;5;0;40;10;15;20;0;0;5
 Terre-Neuve-et-Labrador; female; 25 to 29 years;35;5;0;5;0;0;0;0;5;5;25;0;10;10;0;0;0
 Terre-Neuve-et-Labrador;Tous; 30 to 34 years;95;15;5;5;0;0;5;10;15;0;40;20;10;10;0;0;5
 Terre-Neuve-et-Labrador; male; 30 to 34 years;65;10;5;5;0;0;5;15;15;0;25;15;0;5;0;0;5
 Terre-Neuve-et-Labrador; female; 30 to 34 years;30;5;0;0;5;0;0;0;5;0;20;10;10;10;0;0;0
 Terre-Neuve-et-Labrador;Tous; 35 to 39 years;95;30;5;5;5;5;20;5;5;0;40;20;15;5;0;0;5
 Terre-Neuve-et-Labrador; male; 35 to 39 years;70;20;5;5;5;5;10;5;5;0;35;15;5;5;0;0;0
 Terre-Neuve-et-Labrador; female; 35 to 39 years;25;15;0;5;0;0;10;0;5;0;10;5;5;5;0;0;0
 Terre-Neuve-et-Labrador;Tous; 40 to 44 years;115;40;5;15;5;5;15;0;20;0;50;20;25;5;0;0;5
 Terre-Neuve-et-Labrador; male; 40 to 44 years;85;30;0;5;5;5;15;0;10;0;30;20;15;5;0;0;5
 Terre-Neuve-et-Labrador; female; 40 to 44 years;30;10;0;5;0;0;5;0;5;0;15;0;10;0;0;0;0
 Terre-Neuve-et-Labrador;Tous; 45 to 49 years;170;90;10;25;15;5;35;0;10;0;60;35;25;0;0;0;10
 Terre-Neuve-et-Labrador; male; 45 to 49 years;115;60;5;10;5;5;30;0;10;0;45;30;10;0;0;0;10
 Terre-Neuve-et-Labrador; female; 45 to 49 years;55;35;0;10;5;0;10;0;5;0;15;0;15;0;5;0;5
 Terre-Neuve-et-Labrador;Tous; 50 to 54 years;215;135;5;55;25;20;40;10;5;0;50;20;30;5;0;0;10
 Terre-Neuve-et-Labrador; male; 50 to 54 years;140;90;5;30;15;10;30;0;0;0;35;15;15;0;0;0;5
 Terre-Neuve-et-Labrador; female; 50 to 54 years;80;50;5;25;5;10;10;5;0;0;20;5;10;0;0;0;5
 Terre-Neuve-et-Labrador;Tous; 55 to 59 years;290;195;20;80;45;10;45;0;5;0;80;35;45;0;0;0;5
 Terre-Neuve-et-Labrador; male; 55 to 59 years;185;115;15;50;20;5;25;0;5;0;60;30;25;0;0;0;5
 Terre-Neuve-et-Labrador; female; 55 to 59 years;110;80;5;30;20;5;15;0;0;0;25;0;20;0;0;0;0
 Terre-Neuve-et-Labrador;Tous; 60 to 64 years;305;230;10;105;60;15;40;0;5;0;50;20;30;5;15;0;0
 Terre-Neuve-et-Labrador; male; 60 to 64 years;175;135;10;60;30;10;25;0;0;0;40;15;20;5;5;0;0
 Terre-Neuve-et-Labrador; female; 60 to 64 years;120;100;0;40;35;5;15;0;5;0;15;0;15;0;10;0;0
 Terre-Neuve-et-Labrador;Tous; 65 to 69 years;365;305;15;180;70;10;30;0;0;0;40;0;35;0;20;0;0
 Terre-Neuve-et-Labrador; male; 65 to 69 years;180;155;10;85;35;5;20;0;0;0;20;5;20;0;5;0;0
 Terre-Neuve-et-Labrador; female; 65 to 69 years;190;150;5;90;35;5;15;0;0;0;25;0;25;0;15;0;0
 Terre-Neuve-et-Labrador;Tous; 70 to 74 years;515;470;25;300;120;5;20;0;0;0;20;5;15;0;25;0;0
 Terre-Neuve-et-Labrador; male; 70 to 74 years;215;200;5;130;50;0;15;0;0;0;15;0;10;0;5;0;0
 Terre-Neuve-et-Labrador; female; 70 to 74 years;300;270;20;170;65;5;5;0;0;0;10;0;10;0;20;0;0
 Terre-Neuve-et-Labrador;Tous; 75 to 79 years;815;770;35;495;215;5;15;0;0;0;10;5;10;0;30;0;0
 Terre-Neuve-et-Labrador; male; 75 to 79 years;270;270;15;165;70;5;10;0;0;0;5;5;0;0;5;0;0
 Terre-Neuve-et-Labrador; female; 75 to 79 years;540;500;20;335;140;0;5;0;0;0;5;0;10;0;30;0;5
 Terre-Neuve-et-Labrador;Tous; 80 to 84 years;1195;1165;40;740;375;5;5;0;0;0;5;0;0;0;30;0;0
 Terre-Neuve-et-Labrador; male; 80 to 84 years;380;375;15;230;120;0;0;0;0;0;0;0;5;0;0;0;0
 Terre-Neuve-et-Labrador; female; 80 to 84 years;820;790;30;510;250;0;0;0;0;0;0;0;0;0;25;0;0
 Terre-Neuve-et-Labrador;Tous; 85 years and over;2580;2525;85;1685;750;5;5;0;0;0;0;0;5;0;55;0;0
 Terre-Neuve-et-Labrador; male; 85 years and over;645;640;25;420;195;0;0;0;0;0;0;0;0;0;5;0;0
 Terre-Neuve-et-Labrador; female; 85 years and over;1935;1885;60;1265;555;0;5;0;0;0;0;0;0;0;45;0;0
Nouveau-Brunswick;Etablissement;;965;575;15;205;90;85;185;10;20;15;305;105;160;35;30;0;20
Nouveau-Brunswick;Tous;0 to 100 years;15335;12105;390;7065;2075;920;1655;1050;135;55;1435;685;565;185;285;0;265
Nouveau-Brunswick; male;0 to 100 years;6865;4495;215;2205;625;475;970;1040;75;35;940;530;310;105;35;0;245
Nouveau-Brunswick; female;0 to 100 years;8470;7610;170;4860;1455;445;685;15;60;25;495;160;255;80;250;0;20
Nouveau-Brunswick;Tous; under 15 years;140;45;0;10;5;10;15;5;10;25;55;5;30;15;0;0;0
Nouveau-Brunswick; male; under 15 years;65;25;0;5;5;5;10;0;0;15;25;5;15;5;0;0;0
Nouveau-Brunswick; female; under 15 years;75;20;5;5;5;5;10;5;5;10;30;5;15;10;0;0;0
Nouveau-Brunswick;Tous; 15 to 19 years;255;70;5;5;5;10;45;20;25;30;80;25;10;40;5;0;35
Nouveau-Brunswick; male; 15 to 19 years;170;45;5;0;5;10;35;20;5;20;45;15;5;25;5;0;35
Nouveau-Brunswick; female; 15 to 19 years;85;25;0;0;5;0;10;5;20;10;30;5;5;20;0;0;0
Nouveau-Brunswick;Tous; 20 to 24 years;515;110;10;10;5;25;55;160;15;5;100;50;30;20;0;0;130
Nouveau-Brunswick; male; 20 to 24 years;435;80;5;5;0;20;45;165;5;0;60;30;15;15;0;0;120
Nouveau-Brunswick; female; 20 to 24 years;75;25;0;5;0;5;10;0;5;0;40;20;10;10;0;0;10
Nouveau-Brunswick;Tous; 25 to 29 years;450;145;5;20;0;25;85;140;20;0;110;35;65;5;0;0;40
Nouveau-Brunswick; male; 25 to 29 years;365;110;5;15;0;20;70;135;15;0;65;30;25;5;0;0;40
Nouveau-Brunswick; female; 25 to 29 years;90;35;0;5;5;5;20;5;10;0;45;5;35;5;0;0;5
Nouveau-Brunswick;Tous; 30 to 34 years;450;175;20;35;10;35;85;160;15;0;90;35;50;5;0;0;20
Nouveau-Brunswick; male; 30 to 34 years;345;120;15;20;5;20;55;160;10;0;45;25;20;0;0;0;15
Nouveau-Brunswick; female; 30 to 34 years;105;60;0;10;5;15;30;0;0;0;40;10;30;5;0;0;0
Nouveau-Brunswick;Tous; 35 to 39 years;450;195;10;35;10;35;100;135;20;0;100;60;35;5;0;0;5
Nouveau-Brunswick; male; 35 to 39 years;335;115;0;20;5;20;70;135;10;0;70;45;20;0;0;0;5
Nouveau-Brunswick; female; 35 to 39 years;115;80;5;20;10;15;35;0;5;0;30;15;15;0;0;0;0
Nouveau-Brunswick;Tous; 40 to 44 years;500;280;15;70;20;45;130;115;5;0;95;60;25;10;0;0;10
Nouveau-Brunswick; male; 40 to 44 years;360;165;5;30;15;30;75;110;5;0;70;50;15;0;0;0;5
Nouveau-Brunswick; female; 40 to 44 years;145;110;10;40;5;10;45;0;0;0;30;15;10;0;0;0;0
Nouveau-Brunswick;Tous; 45 to 49 years;700;425;20;115;30;65;195;105;10;5;145;85;50;5;5;0;10
Nouveau-Brunswick; male; 45 to 49 years;485;255;15;60;15;40;120;110;10;5;110;65;40;0;0;0;5
Nouveau-Brunswick; female; 45 to 49 years;215;170;5;55;10;25;70;0;5;0;35;20;15;0;0;0;0
Nouveau-Brunswick;Tous; 50 to 54 years;765;520;20;165;50;80;200;80;15;0;140;70;50;15;5;0;0
Nouveau-Brunswick; male; 50 to 54 years;475;285;15;85;20;60;115;85;5;0;95;55;35;10;0;0;0
Nouveau-Brunswick; female; 50 to 54 years;290;235;5;80;30;30;90;0;5;0;45;20;20;5;5;0;0
Nouveau-Brunswick;Tous; 55 to 59 years;815;585;25;195;45;90;225;55;5;0;155;75;55;25;0;0;5
Nouveau-Brunswick; male; 55 to 59 years;495;325;20;100;20;55;135;60;5;0;105;60;25;10;0;0;5
Nouveau-Brunswick; female; 55 to 59 years;315;260;10;95;20;40;90;0;5;0;50;10;25;15;0;0;0
Nouveau-Brunswick;Tous; 60 to 64 years;915;695;30;290;100;90;190;35;5;0;155;80;65;10;10;0;10
Nouveau-Brunswick; male; 60 to 64 years;495;335;15;125;40;55;105;35;5;0;110;65;40;5;0;0;5
Nouveau-Brunswick; female; 60 to 64 years;415;360;10;165;60;40;90;0;0;0;45;15;25;5;10;0;5
Nouveau-Brunswick;Tous; 65 to 69 years;740;585;25;270;125;65;100;15;0;0;110;50;40;20;20;0;5
Nouveau-Brunswick; male; 65 to 69 years;385;285;15;125;55;40;50;15;0;0;75;40;25;10;5;0;5
Nouveau-Brunswick; female; 65 to 69 years;355;300;10;150;70;25;50;0;0;0;35;10;20;5;15;0;0
Nouveau-Brunswick;Tous; 70 to 74 years;850;730;30;430;140;65;70;5;0;0;65;30;30;10;50;0;5
Nouveau-Brunswick; male; 70 to 74 years;375;315;25;175;45;30;40;10;0;0;45;20;20;5;5;0;0
Nouveau-Brunswick; female; 70 to 74 years;475;415;5;265;90;35;30;0;0;0;20;5;10;0;40;0;0
Nouveau-Brunswick;Tous; 75 to 79 years;1240;1150;35;760;240;65;45;5;0;0;25;10;5;5;55;0;0
Nouveau-Brunswick; male; 75 to 79 years;470;435;15;285;90;25;20;5;0;0;20;10;10;0;10;0;0
Nouveau-Brunswick; female; 75 to 79 years;770;715;20;475;155;40;25;0;0;0;5;0;0;5;50;0;0
Nouveau-Brunswick;Tous; 80 to 84 years;1895;1820;50;1250;410;65;40;5;0;0;10;5;5;5;55;0;0
Nouveau-Brunswick; male; 80 to 84 years;555;550;20;375;110;20;15;0;0;0;5;0;0;0;0;0;5
Nouveau-Brunswick; female; 80 to 84 years;1335;1270;35;875;300;45;25;0;0;0;5;0;0;0;55;0;0
Nouveau-Brunswick;Tous; 85 years and over;4660;4565;85;3400;875;140;70;0;0;0;10;5;5;0;85;0;0
Nouveau-Brunswick; male; 85 years and over;1050;1045;35;775;190;30;20;0;0;0;5;0;0;5;5;0;0
Nouveau-Brunswick; female; 85 years and over;3610;3525;55;2620;685;110;55;0;0;0;5;0;5;0;80;0;0
Québec;Etablissement;;7370;4170;75;1045;1475;430;1145;60;205;110;1995;650;1075;270;665;0;165
Québec;Tous;0 to 100 years;169060;138760;2535;62185;59175;4575;10295;4275;2265;920;10910;4370;3220;3325;10075;0;1855
Québec; male;0 to 100 years;63050;45570;1175;18820;16995;2645;5930;4085;1410;530;7250;3325;1995;1930;2550;0;1655
Québec; female;0 to 100 years;106010;93190;1360;43360;42180;1930;4360;190;855;390;3665;1045;1230;1390;7525;0;195
Québec;Tous; under 15 years;1450;445;60;5;55;50;265;95;160;415;300;30;145;120;25;0;10
Québec; male; under 15 years;805;245;30;5;35;25;150;60;65;265;160;20;80;55;10;0;5
Québec; female; under 15 years;645;205;30;0;20;25;120;35;100;150;140;10;65;65;15;0;0
Québec;Tous; 15 to 19 years;1880;410;20;15;55;65;260;275;180;460;460;90;95;280;15;0;75
Québec; male; 15 to 19 years;1115;225;20;5;30;40;135;220;110;240;245;50;50;145;5;0;70
Québec; female; 15 to 19 years;765;185;5;15;20;20;125;60;75;220;215;40;40;135;10;0;10
Québec;Tous; 20 to 24 years;2475;620;25;65;40;200;295;360;245;5;905;250;110;545;85;0;255
Québec; male; 20 to 24 years;1710;430;20;45;15;145;205;355;145;5;505;150;50;300;45;0;225
Québec; female; 20 to 24 years;760;190;5;20;20;55;85;5;100;5;400;100;55;240;45;0;25
Québec;Tous; 25 to 29 years;2735;835;60;75;30;260;415;495;220;0;785;305;110;370;115;0;275
Québec; male; 25 to 29 years;2060;590;40;55;20;180;295;490;150;0;515;205;75;235;55;0;265
Québec; female; 25 to 29 years;675;250;20;15;15;75;120;5;75;5;270;95;40;140;55;0;10
Québec;Tous; 30 to 34 years;2855;975;50;125;40;260;495;530;210;0;685;365;110;215;105;0;345
Québec; male; 30 to 34 years;2175;665;35;80;25;195;335;525;125;0;470;265;65;140;60;0;335
Québec; female; 30 to 34 years;685;305;15;45;15;65;160;10;90;0;220;95;45;75;45;0;15
Québec;Tous; 35 to 39 years;2785;995;50;120;55;280;490;520;200;5;620;315;155;150;115;0;340
Québec; male; 35 to 39 years;2090;635;35;65;25;200;310;505;115;0;440;230;95;115;60;0;330
Québec; female; 35 to 39 years;700;360;15;50;35;80;185;15;85;0;180;85;60;40;55;0;15
Québec;Tous; 40 to 44 years;3390;1485;55;235;125;325;740;585;215;5;735;435;190;110;155;0;205
Québec; male; 40 to 44 years;2440;920;35;135;60;235;455;570;140;5;535;335;125;75;85;0;190
Québec; female; 40 to 44 years;950;565;20;100;70;90;285;15;75;5;200;100;65;35;75;0;20
Québec;Tous; 45 to 49 years;4620;2595;90;485;315;480;1230;495;270;0;965;510;315;135;200;0;100
Québec; male; 45 to 49 years;3160;1600;65;265;180;320;775;485;170;0;715;425;215;75;100;0;90
Québec; female; 45 to 49 years;1465;995;25;220;135;165;450;10;95;0;250;90;100;65;100;0;10
Québec;Tous; 50 to 54 years;5495;3375;120;810;515;485;1445;380;235;5;1235;615;390;230;200;0;70
Québec; male; 50 to 54 years;3490;1955;75;430;245;315;885;365;150;0;865;480;245;140;90;0;60
Québec; female; 50 to 54 years;2010;1425;40;380;270;170;560;10;80;5;375;135;150;90;100;0;15
Québec;Tous; 55 to 59 years;5845;3920;120;1215;785;470;1330;235;135;5;1325;580;485;255;200;0;25
Québec; male; 55 to 59 years;3475;2075;65;625;335;275;770;225;95;5;960;475;340;145;100;0;10
Québec; female; 55 to 59 years;2365;1845;55;590;450;195;555;5;40;0;365;105;145;115;95;0;10
Québec;Tous; 60 to 64 years;6670;4840;130;1820;1265;375;1245;135;110;5;1150;395;425;330;375;0;45
Québec; male; 60 to 64 years;3665;2475;75;965;530;215;685;135;85;5;795;340;275;180;140;0;30
Québec; female; 60 to 64 years;3005;2360;60;855;735;160;555;0;25;0;365;60;155;150;235;0;20
Québec;Tous; 65 to 69 years;7940;6180;160;2675;2265;280;800;85;55;5;785;215;285;285;780;0;45
Québec; male; 65 to 69 years;3700;2795;70;1255;885;150;420;80;40;5;515;175;170;170;250;0;20
Québec; female; 65 to 69 years;4240;3390;85;1415;1375;130;380;5;15;0;270;40;115;115;530;0;20
Québec;Tous; 70 to 74 years;11195;9445;200;4155;4410;185;490;55;15;5;445;125;150;170;1200;0;30
Québec; male; 70 to 74 years;4330;3675;105;1660;1565;80;260;50;10;0;285;90;90;95;295;0;20
Québec; female; 70 to 74 years;6860;5770;95;2495;2850;100;230;5;5;0;160;35;55;70;905;0;10
Québec;Tous; 75 to 79 years;19565;17480;265;7715;8965;195;340;20;10;0;255;65;120;80;1790;0;15
Québec; male; 75 to 79 years;6485;5865;130;2755;2775;85;125;20;10;0;145;40;60;50;440;0;10
Québec; female; 75 to 79 years;13080;11615;135;4965;6190;110;215;0;0;0;115;30;55;30;1345;0;10
Québec;Tous; 80 to 84 years;31435;29295;375;13280;15190;235;205;10;5;0;130;45;55;30;1995;0;5
Québec; male; 80 to 84 years;9035;8550;145;3950;4305;85;65;5;0;0;60;25;20;15;410;0;5
Québec; female; 80 to 84 years;22400;20745;235;9330;10885;150;145;0;5;0;65;20;35;20;1585;0;0
Québec;Tous; 85 years and over;58725;55860;750;29380;25050;430;245;5;0;0;125;30;85;10;2735;0;10
Québec; male; 85 years and over;13325;12865;225;6520;5965;90;60;0;0;0;55;15;35;0;405;0;0
Québec; female; 85 years and over;45405;43000;525;22865;19085;345;180;0;0;0;70;10;50;5;2325;0;5
